Building Address,Under 5 years,Under 5 years,5 to 9 years,5 to 9 years,10 to 14 years,10 to 14 years,15 to 19 years,15 to 19 years,20 to 24 years,20 to 24 years,25 to 34 years,25 to 34 years,35 to 44 years,35 to 44 years,45 to 54 years,45 to 54 years,55 to 59 years,55 to 59 years,60 to 64 years,60 to 64 years,65 to 74 years,65 to 74 years,75 to 84 years,75 to 84 years,85 years and over,85 years and over,Single Senior only,Single Senior only,2+ Seniors only,2+ Seniors only,Single non-senior,Single non-senior,"Couple, no child(ren)","Couple, no child(ren)",2 parents + child(ren) <18,2 parents + child(ren) <18,2 parents + child(ren)>=18,2 parents + child(ren)>=18,Single parent + child(ren)<18,Single parent + child(ren)<18,Single parent + child(ren)>=18,Single parent + child(ren)>=18,Single grandparent + child(ren)<18,Single grandparent + child(ren)<18,Single grandparent + child(ren)>=18,Single grandparent + child(ren)>=18,Other + child(ren)<18,Other + child(ren)<18,"Other, no child(ren)<18","Other, no child(ren)<18",Employment ,Employment ,Own Business,Own Business,Unemployment Insurance,Unemployment Insurance,Public Assistance,Public Assistance,Social Security,Social Security,SSI,SSI,VA Benefits,VA Benefits,Pension,Pension,Child Support,Child Support,Other,Other,Non-Verifiable,Non-Verifiable,Non-Verifiable only,Non-Verifiable only
1010 EAST 178TH STREET,21,5%,27,6%,47,10%,43,9%,48,10%,34,7%,47,10%,68,15%,34,7%,17,4%,49,11%,19,4%,10,2%,46,21%,9,4%,42,19%,6,3%,7,3%,6,3%,53,24%,29,13%,9,4%,0,0%,3,1%,7,3%,94,43%,0,0%,9,4%,28,13%,88,41%,84,39%,0,0%,11,5%,3,1%,5,2%,5,2%,1,0%
104-14 TAPSCOTT STREET,4,6%,4,6%,8,12%,8,12%,4,6%,9,13%,10,15%,12,18%,3,4%,1,1%,4,6%,0,0%,1,1%,2,7%,0,0%,5,17%,0,0%,1,3%,0,0%,11,37%,8,27%,2,7%,0,0%,0,0%,1,3%,17,57%,0,0%,2,7%,2,7%,9,30%,9,30%,0,0%,1,3%,2,7%,0,0%,1,3%,,0%
1162-1176 WASHINGTON AVENUE,16,8%,22,11%,19,10%,36,18%,23,12%,19,10%,21,11%,19,10%,5,3%,10,5%,5,3%,3,2%,0,0%,3,5%,3,5%,10,16%,1,2%,5,8%,0,0%,26,41%,6,10%,4,6%,0,0%,3,5%,2,3%,38,60%,0,0%,3,5%,12,19%,11,17%,17,27%,0,0%,4,6%,2,3%,0,0%,2,3%,1,2%
131 SAINT NICHOLAS AVENUE,6,3%,8,5%,13,8%,4,2%,24,14%,23,13%,10,6%,20,12%,18,10%,12,7%,23,13%,8,5%,4,2%,21,22%,5,5%,33,34%,1,1%,2,2%,1,1%,14,14%,9,9%,2,2%,3,3%,1,1%,5,5%,37,38%,0,0%,7,7%,10,10%,35,36%,25,26%,0,0%,13,13%,0,0%,1,1%,1,1%,,0%
1471 WATSON AVENUE,7,4%,10,6%,10,6%,8,5%,20,12%,18,11%,19,11%,21,12%,12,7%,9,5%,26,15%,7,4%,4,2%,26,27%,2,2%,27,28%,1,1%,1,1%,2,2%,17,18%,13,14%,1,1%,5,5%,0,0%,1,1%,23,24%,0,0%,4,4%,13,14%,39,41%,37,39%,1,1%,8,8%,3,3%,3,3%,1,1%,1,1%
154 WEST 84TH STREET,2,2%,6,7%,4,4%,8,9%,12,13%,12,13%,6,7%,18,20%,7,8%,8,9%,6,7%,0,0%,0,0%,0,0%,0,0%,10,29%,0,0%,6,18%,1,3%,3,9%,9,26%,3,9%,0,0%,0,0%,2,6%,25,74%,0,0%,3,9%,2,6%,12,35%,6,18%,0,0%,3,9%,1,3%,0,0%,1,3%,,0%
303 VERNON AVENUE,24,4%,56,10%,56,10%,68,12%,56,10%,55,10%,64,11%,66,12%,25,4%,34,6%,45,8%,21,4%,3,1%,41,18%,9,4%,44,19%,8,3%,10,4%,4,2%,55,24%,31,13%,15,6%,3,1%,11,5%,2,1%,106,45%,0,0%,8,3%,30,13%,77,33%,71,30%,3,1%,19,8%,11,5%,37,16%,1,0%,,0%
45 ALLEN STREET,5,2%,4,2%,12,5%,15,6%,10,4%,15,6%,29,13%,32,14%,10,4%,16,7%,40,17%,35,15%,8,3%,27,26%,10,10%,8,8%,2,2%,4,4%,13,13%,7,7%,18,18%,4,4%,2,2%,2,2%,5,5%,46,45%,0,0%,4,4%,10,10%,65,64%,34,33%,1,1%,26,25%,1,1%,8,8%,12,12%,,0%
830 AMSTERDAM AVENUE,9,3%,26,8%,26,8%,35,10%,29,9%,31,9%,31,9%,42,13%,25,7%,13,4%,35,10%,23,7%,9,3%,45,29%,4,3%,26,17%,4,3%,3,2%,7,5%,27,17%,17,11%,9,6%,4,3%,5,3%,4,3%,55,35%,0,0%,9,6%,12,8%,67,43%,55,35%,1,1%,14,9%,3,2%,4,3%,3,2%,,0%
ADAMS,145,6%,220,9%,237,10%,285,12%,264,11%,240,10%,232,10%,277,11%,112,5%,100,4%,154,6%,122,5%,29,1%,157,17%,30,3%,118,13%,22,2%,46,5%,19,2%,249,27%,140,15%,58,6%,15,2%,45,5%,24,3%,405,44%,1,0%,61,7%,131,14%,315,34%,315,34%,1,0%,61,7%,55,6%,26,3%,23,2%,6,1%
ALBANY,107,5%,168,9%,207,11%,196,10%,215,11%,228,12%,188,10%,252,13%,108,6%,79,4%,123,6%,71,4%,21,1%,139,17%,17,2%,127,16%,6,1%,47,6%,14,2%,236,29%,139,17%,41,5%,13,2%,14,2%,23,3%,399,49%,0,0%,63,8%,116,14%,247,30%,234,29%,5,1%,72,9%,37,5%,4,0%,31,4%,9,1%
ALBANY II,56,5%,98,9%,117,11%,127,12%,125,12%,117,11%,110,11%,113,11%,49,5%,37,4%,47,5%,36,3%,12,1%,57,14%,8,2%,63,16%,1,0%,20,5%,5,1%,121,31%,68,17%,20,5%,5,1%,15,4%,13,3%,207,52%,0,0%,31,8%,59,15%,116,29%,108,27%,3,1%,23,6%,13,3%,3,1%,13,3%,2,1%
AMSTERDAM,83,4%,146,6%,159,7%,236,10%,231,10%,248,11%,207,9%,293,13%,140,6%,147,6%,216,9%,151,6%,80,3%,273,25%,51,5%,150,14%,13,1%,39,4%,29,3%,210,19%,191,18%,33,3%,15,1%,30,3%,44,4%,467,43%,3,0%,61,6%,96,9%,452,42%,264,24%,6,1%,139,13%,18,2%,31,3%,25,2%,14,1%
AMSTERDAM ADDITION,5,2%,22,7%,21,6%,11,3%,25,8%,29,9%,28,8%,33,10%,11,3%,15,5%,68,21%,46,14%,17,5%,62,36%,23,13%,15,9%,3,2%,5,3%,5,3%,26,15%,19,11%,3,2%,2,1%,1,1%,7,4%,53,31%,0,0%,15,9%,8,5%,103,60%,51,30%,1,1%,40,23%,3,2%,5,3%,6,4%,1,1%
ASTORIA,174,5%,281,9%,303,10%,405,13%,377,12%,363,11%,337,11%,346,11%,168,5%,123,4%,182,6%,86,3%,35,1%,146,13%,18,2%,119,11%,9,1%,72,7%,47,4%,276,25%,216,20%,90,8%,17,2%,52,5%,36,3%,570,52%,0,0%,70,6%,140,13%,356,32%,307,28%,6,1%,78,7%,44,4%,7,1%,45,4%,13,1%
ATLANTIC TERMINAL SITE 4B,34,6%,31,5%,40,7%,56,9%,69,11%,65,11%,50,8%,76,12%,46,8%,42,7%,58,9%,33,5%,12,2%,69,23%,11,4%,77,26%,9,3%,13,4%,2,1%,49,16%,38,13%,10,3%,4,1%,8,3%,7,2%,136,46%,0,0%,10,3%,34,11%,117,39%,77,26%,1,0%,29,10%,2,1%,0,0%,10,3%,2,1%
AUDUBON,30,7%,42,10%,51,12%,43,10%,35,8%,43,10%,34,8%,47,11%,18,4%,23,5%,28,6%,37,8%,9,2%,42,25%,9,5%,18,11%,2,1%,14,8%,1,1%,35,21%,16,10%,17,10%,6,4%,3,2%,3,2%,79,48%,1,1%,12,7%,18,11%,64,39%,54,33%,1,1%,24,14%,2,1%,1,1%,2,1%,,0%
BAILEY AVENUE-WEST 193RD STREET,22,5%,30,7%,41,9%,41,9%,37,8%,50,11%,47,10%,61,13%,30,7%,31,7%,34,7%,22,5%,13,3%,50,22%,6,3%,53,23%,8,3%,5,2%,4,2%,57,25%,29,13%,10,4%,3,1%,1,0%,4,2%,92,40%,0,0%,18,8%,29,13%,77,33%,76,33%,3,1%,10,4%,9,4%,6,3%,6,3%,,0%
BAISLEY PARK,50,6%,78,9%,93,10%,87,10%,86,10%,114,13%,77,9%,107,12%,46,5%,40,4%,72,8%,35,4%,10,1%,64,17%,10,3%,73,19%,5,1%,4,1%,4,1%,99,26%,67,18%,21,6%,9,2%,13,3%,9,2%,153,40%,0,0%,26,7%,53,14%,137,36%,113,30%,0,0%,34,9%,7,2%,15,4%,12,3%,4,1%
BARUCH,197,4%,339,7%,388,8%,453,9%,475,9%,530,10%,495,10%,644,12%,367,7%,333,6%,535,10%,300,6%,106,2%,396,18%,143,7%,276,13%,76,3%,106,5%,114,5%,378,17%,379,17%,132,6%,39,2%,63,3%,73,3%,1020,47%,7,0%,113,5%,177,8%,908,42%,708,33%,11,1%,245,11%,26,1%,42,2%,38,2%,14,1%
BARUCH HOUSES ADDITION,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,2,1%,3,1%,77,33%,98,43%,49,21%,157,81%,34,18%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,10,5%,0,0%,0,0%,5,3%,146,75%,103,53%,4,2%,44,23%,0,0%,1,1%,0,0%,,0%
BAY VIEW,189,5%,302,9%,353,10%,376,11%,321,9%,439,12%,365,10%,408,12%,191,5%,156,4%,266,8%,125,4%,50,1%,263,17%,47,3%,261,16%,20,1%,27,2%,32,2%,498,31%,277,17%,65,4%,20,1%,39,2%,39,2%,677,43%,2,0%,85,5%,238,15%,529,33%,436,27%,14,1%,165,10%,71,4%,55,3%,54,3%,29,2%
BEACH 41ST STREET,121,7%,197,12%,179,11%,168,10%,171,10%,207,12%,162,10%,180,11%,92,5%,62,4%,107,6%,33,2%,18,1%,101,14%,21,3%,132,19%,18,3%,24,3%,8,1%,249,35%,90,13%,31,4%,2,0%,21,3%,8,1%,294,42%,1,0%,50,7%,118,17%,194,28%,206,29%,1,0%,29,4%,33,5%,34,5%,40,6%,3,0%
BEDFORD-STUYVESANT REHAB,12,7%,7,4%,9,5%,17,9%,21,12%,19,10%,16,9%,27,15%,19,10%,10,6%,17,9%,4,2%,3,2%,12,14%,5,6%,16,19%,8,10%,3,4%,1,1%,16,19%,11,13%,5,6%,1,1%,2,2%,4,5%,44,52%,0,0%,1,1%,14,17%,21,25%,24,29%,1,1%,3,4%,0,0%,13,15%,0,0%,,0%
BERRY,48,5%,56,6%,88,9%,93,10%,77,8%,89,9%,108,11%,115,12%,78,8%,72,8%,78,8%,34,4%,21,2%,91,18%,18,4%,130,26%,9,2%,13,3%,9,2%,132,26%,72,14%,16,3%,4,1%,3,1%,3,1%,190,38%,0,0%,13,3%,70,14%,210,42%,165,33%,8,2%,70,14%,18,4%,7,1%,36,7%,,0%
BETHUNE GARDENS,0,0%,0,0%,0,0%,1,0%,0,0%,0,0%,0,0%,3,1%,3,1%,5,2%,93,38%,114,46%,27,11%,166,81%,33,16%,0,0%,4,2%,0,0%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,10,5%,1,0%,0,0%,7,3%,145,71%,118,58%,1,0%,39,19%,0,0%,0,0%,5,2%,1,0%
BLAND,41,5%,50,5%,74,8%,82,9%,94,10%,100,11%,91,10%,118,13%,56,6%,51,6%,73,8%,57,6%,23,3%,78,20%,25,6%,50,13%,10,3%,25,6%,12,3%,74,19%,76,19%,19,5%,4,1%,9,2%,16,4%,195,49%,0,0%,13,3%,36,9%,182,46%,126,32%,2,1%,49,12%,3,1%,4,1%,4,1%,,0%
