2020
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings,Scores
['Residents And Stakeholders Weigh In On NYCHA Transformation Plan In Public Comment Period As Part Of Innovative Blueprint For Change'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201231-2.page'],"['building', 'resident', 'program', 'system', 'housing', 'development', 'work', 'capital', 'public', 'quality', 'use', 'service', 'better', 'improve', 'funding', 'change', 'performance', 'neighborhood', 'plan', 'annual', 'department', 'sustainable', 'phase', 'management', 'district', 'agreement', 'contribute', 'release', 'largescale', 'recovery', 'process', 'generate', 'brighter', 'agency', 'future', 'hud', 'developments', 'residents', 'completed', 'available', 'urban', 'outreach', 'innovative', 'preserving', 'outlined', 'environment']",[],[],"{'1900', '2019', '2023', '2020'}",[],0.932549504950494
['HUD Awards NYCHA $24.7 Million To Support Emergency Capital Needs For Resident Safety And Security'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201231.page'],"['resident', 'program', 'housing', 'houses', 'development', 'reduce', 'percent', 'lighting', 'capital', 'public', 'quality', 'use', 'apartment', 'working', 'service', 'improve', 'funding', 'reduction', 'health', 'annual', 'initiative', 'emergency', 'department', 'release', 'partnership', 'street', 'future', 'hud', 'developments', 'residents', 'grant', 'significantly', 'improved', 'urban', 'study', 'current']",[],[],"{'1900', '2019', '2023', '2020'}","['grant', 'jefferson', 'johnson', 'washington', 'whitman']",0.5433168316831679
['NYCHA Finalizes Deal To Construct 182 Units Of Affordable Housing In The Bronx'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201229.page'],"['program', 'project', 'housing', 'houses', 'development', 'work', 'public', 'fund', 'use', 'working', 'provide', 'service', 'commitment', 'change', 'neighborhood', 'announced', 'investment', 'site', 'unit', 'department', 'team', 'construction', 'conversion', 'financing', 'release', 'partnership', 'street', 'commissioner', 'issue', 'process', 'roof', 'administration', 'living', 'developments', 'residents', 'available', 'design']",[],[],"{'1900', '2018', '2023', '2021', '2020'}",['webster'],0.8889232673267322
['NYCHA Makes Necessary Preparations Ahead Of Winter Storm Gail'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201216.page'],"['heating', 'upgrade', 'system', 'housing', 'water', 'heat', 'development', 'work', 'repair', 'hot', 'capital', 'public', 'use', 'provide', 'service', 'center', 'power', 'plan', 'light', 'emergency', 'plant', 'winter', 'department', 'management', 'construction', 'challenge', 'release', 'equipment', 'administration', 'standard', 'expected', 'impact', 'residents', 'storm', 'mobile', 'report', 'respond']",[],[],"{'2021', '2023', '2020'}",[],0.6813118811881184
['NYCHA Chair Greg Russ Testifies Before State Legislature At Hearing To Establish Public Trust'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201208.page'],"['resident', 'program', 'housing', 'development', 'capital', 'public', 'quality', 'use', 'service', 'improve', 'change', 'demand', 'health', 'investment', 'reliable', 'department', 'sustainable', 'control', 'resource', 'management', 'construction', 'recovery', 'protection', 'administration', 'living', 'developments', 'residents', 'solution', 'preserve', 'innovative']",[],[],"{'1900', '2023'}",[],0.6045792079207919
"['NYCHA Finalizes Deal To Bring $271 Million In Comprehensive Renovations To More Than 2,900 Manhattan Residents']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201130.page'],"['building', 'resident', 'program', 'heating', 'system', 'housing', 'development', 'work', 'repair', 'capital', 'public', 'quality', 'fund', 'use', 'apartment', 'working', 'provide', 'service', 'better', 'improve', 'funding', 'commitment', 'change', 'announced', 'plan', 'annual', 'initiative', 'phase', 'resource', 'team', 'management', 'buildings', 'conversion', 'financing', 'release', 'partnership', 'street', 'multifamily', 'process', 'generate', 'infrastructure', 'agency', 'convert', 'protection', 'future', 'helping', 'association', 'expected', 'impact', 'hud', 'living', 'developments', 'residents', 'serve', 'available', 'vital', 'improved', 'invest', 'vulnerable', 'preserve', 'financed', 'upgrades', 'outlined']",[' launched in 2016'],[],"{'1900', '2016', '2023', '2019', '2020', '2003'}","['manhattanville', 'washington']",1.7599009900990101
['NYCHA Intoduces Public Comment Period For Transformation Plan Under Innovative Blueprint For Change'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201116.page'],"['building', 'resident', 'program', 'housing', 'development', 'work', 'capital', 'public', 'quality', 'use', 'goal', 'working', 'service', 'improve', 'funding', 'change', 'plan', 'annual', 'efficient', 'step', 'sustainable', 'team', 'management', 'agreement', 'contribute', 'release', 'recovery', 'process', 'generate', 'brighter', 'agency', 'future', 'impact', 'hud', 'developments', 'residents', 'completed', 'progress', 'report', 'preserving', 'outlined', 'environment']",[],[],"{'1900', '2019', '2023', '2020'}",[],0.631188118811881
"['NYCHA Announces New PACT Projects To Bring Comprehensive Repairs For More Than 10,000 Residents Across Brooklyn, Manhattan, And The Bronx']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201118.page'],"['building', 'resident', 'program', 'system', 'housing', 'heat', 'houses', 'development', 'work', 'repair', 'percent', 'capital', 'public', 'quality', 'use', 'working', 'provide', 'service', 'better', 'improve', 'gas', 'funding', 'commitment', 'change', 'neighborhood', 'plan', 'annual', 'clean', 'step', 'resource', 'management', 'buildings', 'conversion', 'financing', 'release', 'largescale', 'partnership', 'recovery', 'gardens', 'multifamily', 'process', 'infrastructure', 'agency', 'convert', 'protection', 'future', 'helping', 'deliver', 'hud', 'living', 'developments', 'residents', 'completed', 'serve', 'available', 'build', 'vulnerable', 'preserve', 'financed', 'outlined']",[' launched in 2016'],[],"{'1900', '2023', '2021', '2016', '2020', '2003', '2019'}",['bushwick'],1.6045792079207917
['NYCHA Intoduces Public Comment Period For Transformation Plan Under Innovative Blueprint For Change'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201116.page'],"['building', 'resident', 'program', 'housing', 'development', 'work', 'capital', 'public', 'quality', 'use', 'goal', 'working', 'service', 'improve', 'funding', 'change', 'plan', 'annual', 'efficient', 'step', 'sustainable', 'team', 'management', 'agreement', 'contribute', 'release', 'recovery', 'process', 'generate', 'brighter', 'agency', 'future', 'impact', 'hud', 'developments', 'residents', 'completed', 'progress', 'report', 'preserving', 'outlined', 'environment']",[],[],"{'1900', '2019', '2023', '2020'}",[],0.631188118811881
['NYCHA Announces Industry-leading Greenhouse Gas Reduction Efforts In Celebration Of Energy Efficiency Day'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201007.page'],"['energy', 'building', 'program', 'heating', 'project', 'housing', 'heat', 'houses', 'development', 'efficiency', 'reduce', 'percent', 'air', 'capital', 'sustainability', 'public', 'quality', 'use', 'service', 'improve', 'improvement', 'gas', 'greenhouse', 'commitment', 'reduction', 'change', 'fuel', 'carbon', 'conservation', 'replace', 'climate', 'power', 'cleaner', 'plan', 'electrical', 'steam', 'unit', 'hvac', 'department', 'sustainable', 'challenge', 'buildings', 'utility', 'largescale', 'green', 'multifamily', 'reducing', 'infrastructure', 'burning', 'healthier', 'replacing', 'developments', 'residents', 'significantly', 'study', 'vulnerable', 'ghg', 'pump', 'consumption', 'grid', 'waste', 'environment']",[],[],"{'1900', '2030', '2050', '2017', '2023', '2020'}",[],1.3162128712871288
